ANO_ELEICAO,NM_MUNICIPIO,SG_PARTIDO,NM_VOTAVEL,NM_PARTIDO,QT_VOTOS
2018,BARROQUINHA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,58
2018,BARROQUINHA,PDT,CIRO GOMES,Partido Democrático Trabalhista,4574
2018,BARROQUINHA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3881
2018,BARROQUINHA,NOVO,JOÃO AMOÊDO,Partido Novo,6
2018,BARROQUINHA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,BARROQUINHA,PSL,JAIR BOLSONARO,Partido Social Liberal,893
2018,BARROQUINHA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,6
2018,BARROQUINHA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,3
2018,BARROQUINHA,PATRI,CABO DACIOLO,Patriota,55
2018,BARROQUINHA,PODE,ALVARO DIAS,Podemos,5
2018,BARROQUINHA,REDE,MARINA SILVA,Rede Sustentabilidade,16
2018,BATURITÉ,#NULO#,Branco,#NULO#,504
2018,BATURITÉ,#NULO#,Nulo,#NULO#,868
2018,BATURITÉ,DC,EYMAEL,Democracia Cristã,4
2018,BATURITÉ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,91
2018,BATURITÉ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,169
2018,BATURITÉ,PDT,CIRO GOMES,Partido Democrático Trabalhista,6614
2018,BATURITÉ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,9496
2018,BATURITÉ,NOVO,JOÃO AMOÊDO,Partido Novo,30
2018,BATURITÉ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,5
2018,BATURITÉ,PSL,JAIR BOLSONARO,Partido Social Liberal,2963
2018,BATURITÉ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,50
2018,BATURITÉ,PATRI,CABO DACIOLO,Patriota,137
2018,BATURITÉ,PODE,ALVARO DIAS,Podemos,19
2018,BATURITÉ,REDE,MARINA SILVA,Rede Sustentabilidade,57
2018,BEBERIBE,#NULO#,Branco,#NULO#,785
2018,BEBERIBE,#NULO#,Nulo,#NULO#,1861
2018,BEBERIBE,DC,EYMAEL,Democracia Cristã,9
2018,BEBERIBE,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,149
2018,BEBERIBE,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,491
2018,BEBERIBE,PDT,CIRO GOMES,Partido Democrático Trabalhista,13472
2018,BEBERIBE,PT,FERNANDO HADDAD,Partido dos Trabalhadores,10583
2018,BEBERIBE,NOVO,JOÃO AMOÊDO,Partido Novo,61
2018,BEBERIBE,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,BEBERIBE,PSL,JAIR BOLSONARO,Partido Social Liberal,5506
2018,BEBERIBE,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,65
2018,BEBERIBE,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,8
2018,BEBERIBE,PATRI,CABO DACIOLO,Patriota,554
2018,BEBERIBE,PODE,ALVARO DIAS,Podemos,40
2018,BEBERIBE,REDE,MARINA SILVA,Rede Sustentabilidade,90
2018,BELA CRUZ,#NULO#,Branco,#NULO#,395
2018,BELA CRUZ,#NULO#,Nulo,#NULO#,903
2018,BELA CRUZ,DC,EYMAEL,Democracia Cristã,5
2018,BELA CRUZ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,76
2018,BELA CRUZ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,221
2018,BELA CRUZ,PDT,CIRO GOMES,Partido Democrático Trabalhista,6503
2018,BELA CRUZ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5301
2018,BELA CRUZ,NOVO,JOÃO AMOÊDO,Partido Novo,26
2018,BELA CRUZ,PSL,JAIR BOLSONARO,Partido Social Liberal,2083
2018,BELA CRUZ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,35
2018,BELA CRUZ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,3
2018,BELA CRUZ,PATRI,CABO DACIOLO,Patriota,64
2018,BELA CRUZ,PODE,ALVARO DIAS,Podemos,7
2018,BELA CRUZ,REDE,MARINA SILVA,Rede Sustentabilidade,30
2018,BOA VIAGEM,#NULO#,Branco,#NULO#,611
2018,BOA VIAGEM,#NULO#,Nulo,#NULO#,1435
2018,BOA VIAGEM,DC,EYMAEL,Democracia Cristã,5
2018,BOA VIAGEM,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,179
2018,BOA VIAGEM,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,170
2018,BOA VIAGEM,PDT,CIRO GOMES,Partido Democrático Trabalhista,11220
2018,BOA VIAGEM,PT,FERNANDO HADDAD,Partido dos Trabalhadores,15427
2018,BOA VIAGEM,NOVO,JOÃO AMOÊDO,Partido Novo,33
2018,BOA VIAGEM,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,19
2018,BOA VIAGEM,PSL,JAIR BOLSONARO,Partido Social Liberal,2027
2018,BOA VIAGEM,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,28
2018,BOA VIAGEM,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,7
2018,BOA VIAGEM,PATRI,CABO DACIOLO,Patriota,121
2018,BOA VIAGEM,PODE,ALVARO DIAS,Podemos,18
2018,BOA VIAGEM,REDE,MARINA SILVA,Rede Sustentabilidade,33
2018,BREJO SANTO,#NULO#,Branco,#NULO#,418
2018,BREJO SANTO,#NULO#,Nulo,#NULO#,1029
2018,BREJO SANTO,DC,EYMAEL,Democracia Cristã,7
2018,BREJO SANTO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,153
2018,BREJO SANTO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,231
2018,BREJO SANTO,PDT,CIRO GOMES,Partido Democrático Trabalhista,11481
2018,BREJO SANTO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,9836
2018,BREJO SANTO,NOVO,JOÃO AMOÊDO,Partido Novo,64
2018,BREJO SANTO,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,BREJO SANTO,PSL,JAIR BOLSONARO,Partido Social Liberal,3776
2018,BREJO SANTO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,47
2018,BREJO SANTO,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,3
2018,BREJO SANTO,PATRI,CABO DACIOLO,Patriota,96
2018,BREJO SANTO,PODE,ALVARO DIAS,Podemos,18
2018,BREJO SANTO,REDE,MARINA SILVA,Rede Sustentabilidade,50
2018,CAMOCIM,#NULO#,Branco,#NULO#,852
2018,CAMOCIM,#NULO#,Nulo,#NULO#,1301
2018,CAMOCIM,DC,EYMAEL,Democracia Cristã,6
2018,CAMOCIM,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,210
2018,CAMOCIM,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,369
2018,CAMOCIM,PDT,CIRO GOMES,Partido Democrático Trabalhista,15699
2018,CAMOCIM,PT,FERNANDO HADDAD,Partido dos Trabalhadores,10865
2018,CAMOCIM,NOVO,JOÃO AMOÊDO,Partido Novo,91
2018,CAMOCIM,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,4
2018,CAMOCIM,PSL,JAIR BOLSONARO,Partido Social Liberal,6694
2018,CAMOCIM,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,69
2018,CAMOCIM,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,CAMOCIM,PATRI,CABO DACIOLO,Patriota,195
2018,CAMOCIM,PODE,ALVARO DIAS,Podemos,26
2018,CAMOCIM,REDE,MARINA SILVA,Rede Sustentabilidade,125
2018,CAMPOS SALES,#NULO#,Branco,#NULO#,213
2018,CAMPOS SALES,#NULO#,Nulo,#NULO#,579
2018,CAMPOS SALES,DC,EYMAEL,Democracia Cristã,4
2018,CAMPOS SALES,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,170
2018,CAMPOS SALES,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,153
2018,CAMPOS SALES,PDT,CIRO GOMES,Partido Democrático Trabalhista,6006
2018,CAMPOS SALES,PT,FERNANDO HADDAD,Partido dos Trabalhadores,6187
2018,CAMPOS SALES,NOVO,JOÃO AMOÊDO,Partido Novo,24
2018,CAMPOS SALES,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,CAMPOS SALES,PSL,JAIR BOLSONARO,Partido Social Liberal,1245
2018,CAMPOS SALES,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,24
2018,CAMPOS SALES,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,3
2018,CAMPOS SALES,PATRI,CABO DACIOLO,Patriota,37
2018,CAMPOS SALES,PODE,ALVARO DIAS,Podemos,10
2018,CAMPOS SALES,REDE,MARINA SILVA,Rede Sustentabilidade,35
2018,CANINDÉ,#NULO#,Branco,#NULO#,806
2018,CANINDÉ,#NULO#,Nulo,#NULO#,1764
2018,CANINDÉ,DC,EYMAEL,Democracia Cristã,5
2018,CANINDÉ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,173
2018,CANINDÉ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,254
2018,CANINDÉ,PDT,CIRO GOMES,Partido Democrático Trabalhista,14963
2018,CANINDÉ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,20943
2018,CANINDÉ,NOVO,JOÃO AMOÊDO,Partido Novo,69
2018,CANINDÉ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,3
2018,CANINDÉ,PSL,JAIR BOLSONARO,Partido Social Liberal,5181
2018,CANINDÉ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,84
2018,CANINDÉ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,11
2018,CANINDÉ,PATRI,CABO DACIOLO,Patriota,261
2018,CANINDÉ,PODE,ALVARO DIAS,Podemos,27
2018,CANINDÉ,REDE,MARINA SILVA,Rede Sustentabilidade,54
2018,CAPISTRANO,#NULO#,Branco,#NULO#,295
2018,CAPISTRANO,#NULO#,Nulo,#NULO#,427
2018,CAPISTRANO,DC,EYMAEL,Democracia Cristã,1
2018,CAPISTRANO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,52
2018,CAPISTRANO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,93
2018,CAPISTRANO,PDT,CIRO GOMES,Partido Democrático Trabalhista,4304
2018,CAPISTRANO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5675
2018,CAPISTRANO,NOVO,JOÃO AMOÊDO,Partido Novo,17
2018,CAPISTRANO,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,2
2018,CAPISTRANO,PSL,JAIR BOLSONARO,Partido Social Liberal,1382
2018,CAPISTRANO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,17
2018,CAPISTRANO,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,5
2018,CAPISTRANO,PATRI,CABO DACIOLO,Patriota,46
2018,CAPISTRANO,PODE,ALVARO DIAS,Podemos,7
2018,CAPISTRANO,REDE,MARINA SILVA,Rede Sustentabilidade,22
2018,CARIDADE,#NULO#,Branco,#NULO#,198
2018,CARIDADE,#NULO#,Nulo,#NULO#,507
2018,CARIDADE,DC,EYMAEL,Democracia Cristã,1
2018,CARIDADE,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,65
2018,CARIDADE,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,55
2018,CARIDADE,PDT,CIRO GOMES,Partido Democrático Trabalhista,5030
2018,CARIDADE,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5802
2018,CARIDADE,NOVO,JOÃO AMOÊDO,Partido Novo,14
2018,CARIDADE,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,2
2018,CARIDADE,PSL,JAIR BOLSONARO,Partido Social Liberal,1295
2018,CARIDADE,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,16
2018,CARIDADE,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,CARIDADE,PATRI,CABO DACIOLO,Patriota,73
2018,CARIDADE,PODE,ALVARO DIAS,Podemos,10
2018,CARIDADE,REDE,MARINA SILVA,Rede Sustentabilidade,13
2018,CARIRÉ,#NULO#,Branco,#NULO#,401
2018,CARIRÉ,#NULO#,Nulo,#NULO#,722
2018,CARIRÉ,DC,EYMAEL,Democracia Cristã,4
2018,CARIRÉ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,84
2018,CARIRÉ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,628
2018,CARIRÉ,PDT,CIRO GOMES,Partido Democrático Trabalhista,4742
2018,CARIRÉ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2535
2018,CARIRÉ,NOVO,JOÃO AMOÊDO,Partido Novo,7
2018,CARIRÉ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,CARIRÉ,PSL,JAIR BOLSONARO,Partido Social Liberal,1925
2018,CARIRÉ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,17
2018,CARIRÉ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,8
2018,CARIRÉ,PATRI,CABO DACIOLO,Patriota,44
2018,CARIRÉ,PODE,ALVARO DIAS,Podemos,11
2018,CARIRÉ,REDE,MARINA SILVA,Rede Sustentabilidade,29
2018,CARIRIAÇU,#NULO#,Branco,#NULO#,225
2018,CARIRIAÇU,#NULO#,Nulo,#NULO#,711
2018,CARIRIAÇU,DC,EYMAEL,Democracia Cristã,1
2018,CARIRIAÇU,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,82
2018,CARIRIAÇU,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,313
2018,CARIRIAÇU,PDT,CIRO GOMES,Partido Democrático Trabalhista,8938
2018,CARIRIAÇU,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5427
2018,CARIRIAÇU,NOVO,JOÃO AMOÊDO,Partido Novo,23
2018,CARIRIAÇU,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,4
2018,CARIRIAÇU,PSL,JAIR BOLSONARO,Partido Social Liberal,1867
2018,CARIRIAÇU,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,46
2018,CARIRIAÇU,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,6
2018,CARIRIAÇU,PATRI,CABO DACIOLO,Patriota,46
2018,CARIRIAÇU,PODE,ALVARO DIAS,Podemos,20
2018,CARIRIAÇU,REDE,MARINA SILVA,Rede Sustentabilidade,28
2018,CARIÚS,#NULO#,Branco,#NULO#,274
2018,CARIÚS,#NULO#,Nulo,#NULO#,543
2018,CARIÚS,DC,EYMAEL,Democracia Cristã,1
2018,CARIÚS,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,96
2018,CARIÚS,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,95
2018,CARIÚS,PDT,CIRO GOMES,Partido Democrático Trabalhista,3351
2018,CARIÚS,PT,FERNANDO HADDAD,Partido dos Trabalhadores,6223
2018,CARIÚS,NOVO,JOÃO AMOÊDO,Partido Novo,19
2018,CARIÚS,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,CARIÚS,PSL,JAIR BOLSONARO,Partido Social Liberal,1183
2018,CARIÚS,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,14
2018,CARIÚS,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,CARIÚS,PATRI,CABO DACIOLO,Patriota,111
2018,CARIÚS,PODE,ALVARO DIAS,Podemos,13
2018,CARIÚS,REDE,MARINA SILVA,Rede Sustentabilidade,26
2018,CARNAUBAL,#NULO#,Branco,#NULO#,166
2018,CARNAUBAL,#NULO#,Nulo,#NULO#,590
2018,CARNAUBAL,DC,EYMAEL,Democracia Cristã,1
2018,CARNAUBAL,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,120
2018,CARNAUBAL,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,70
2018,CARNAUBAL,PDT,CIRO GOMES,Partido Democrático Trabalhista,4339
2018,CARNAUBAL,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3104
2018,CARNAUBAL,NOVO,JOÃO AMOÊDO,Partido Novo,16
2018,CARNAUBAL,PSL,JAIR BOLSONARO,Partido Social Liberal,1322
2018,CARNAUBAL,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,9
2018,CARNAUBAL,PATRI,CABO DACIOLO,Patriota,18
2018,CARNAUBAL,PODE,ALVARO DIAS,Podemos,15
2018,CARNAUBAL,REDE,MARINA SILVA,Rede Sustentabilidade,17
2018,CASCAVEL,#NULO#,Branco,#NULO#,1221
2018,CASCAVEL,#NULO#,Nulo,#NULO#,3339
2018,CASCAVEL,DC,EYMAEL,Democracia Cristã,8
2018,CASCAVEL,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,182
2018,CASCAVEL,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,477
2018,CASCAVEL,PDT,CIRO GOMES,Partido Democrático Trabalhista,16705
2018,CASCAVEL,PT,FERNANDO HADDAD,Partido dos Trabalhadores,12325
2018,CASCAVEL,NOVO,JOÃO AMOÊDO,Partido Novo,91
2018,CASCAVEL,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,13
2018,CASCAVEL,PSL,JAIR BOLSONARO,Partido Social Liberal,8767
2018,CASCAVEL,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,70
2018,CASCAVEL,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,11
2018,CASCAVEL,PATRI,CABO DACIOLO,Patriota,413
2018,CASCAVEL,PODE,ALVARO DIAS,Podemos,61
2018,CASCAVEL,REDE,MARINA SILVA,Rede Sustentabilidade,132
2018,CATARINA,#NULO#,Branco,#NULO#,81
2018,CATARINA,#NULO#,Nulo,#NULO#,209
2018,CATARINA,DC,EYMAEL,Democracia Cristã,1
2018,CATARINA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,98
2018,CATARINA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,24
2018,CATARINA,PDT,CIRO GOMES,Partido Democrático Trabalhista,1788
2018,CATARINA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3274
2018,CATARINA,NOVO,JOÃO AMOÊDO,Partido Novo,5
2018,CATARINA,PSL,JAIR BOLSONARO,Partido Social Liberal,558
2018,CATARINA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,2
2018,CATARINA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,2
2018,CATARINA,PATRI,CABO DACIOLO,Patriota,11
2018,CATARINA,PODE,ALVARO DIAS,Podemos,3
2018,CATARINA,REDE,MARINA SILVA,Rede Sustentabilidade,8
2018,CATUNDA,#NULO#,Branco,#NULO#,86
2018,CATUNDA,#NULO#,Nulo,#NULO#,145
2018,CATUNDA,DC,EYMAEL,Democracia Cristã,1
2018,CATUNDA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,32
2018,CATUNDA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,27
2018,CATUNDA,PDT,CIRO GOMES,Partido Democrático Trabalhista,3351
2018,CATUNDA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,2290
2018,CATUNDA,NOVO,JOÃO AMOÊDO,Partido Novo,5
2018,CATUNDA,PSL,JAIR BOLSONARO,Partido Social Liberal,503
2018,CATUNDA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,2
2018,CATUNDA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,3
2018,CATUNDA,PATRI,CABO DACIOLO,Patriota,30
2018,CATUNDA,PODE,ALVARO DIAS,Podemos,4
2018,CATUNDA,REDE,MARINA SILVA,Rede Sustentabilidade,3
2018,CAUCAIA,#NULO#,Branco,#NULO#,4345
2018,CAUCAIA,#NULO#,Nulo,#NULO#,11947
2018,CAUCAIA,DC,EYMAEL,Democracia Cristã,45
2018,CAUCAIA,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,977
2018,CAUCAIA,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,2438
2018,CAUCAIA,PDT,CIRO GOMES,Partido Democrático Trabalhista,54932
2018,CAUCAIA,PT,FERNANDO HADDAD,Partido dos Trabalhadores,55890
2018,CAUCAIA,NOVO,JOÃO AMOÊDO,Partido Novo,637
2018,CAUCAIA,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,35
2018,CAUCAIA,PSL,JAIR BOLSONARO,Partido Social Liberal,50363
2018,CAUCAIA,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,566
2018,CAUCAIA,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,64
2018,CAUCAIA,PATRI,CABO DACIOLO,Patriota,3735
2018,CAUCAIA,PODE,ALVARO DIAS,Podemos,330
2018,CAUCAIA,REDE,MARINA SILVA,Rede Sustentabilidade,807
2018,CEDRO,#NULO#,Branco,#NULO#,285
2018,CEDRO,#NULO#,Nulo,#NULO#,796
2018,CEDRO,DC,EYMAEL,Democracia Cristã,1
2018,CEDRO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,108
2018,CEDRO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,122
2018,CEDRO,PDT,CIRO GOMES,Partido Democrático Trabalhista,6461
2018,CEDRO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,6121
2018,CEDRO,NOVO,JOÃO AMOÊDO,Partido Novo,25
2018,CEDRO,PSL,JAIR BOLSONARO,Partido Social Liberal,1631
2018,CEDRO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,29
2018,CEDRO,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,CEDRO,PATRI,CABO DACIOLO,Patriota,77
2018,CEDRO,PODE,ALVARO DIAS,Podemos,20
2018,CEDRO,REDE,MARINA SILVA,Rede Sustentabilidade,34
2018,CHAVAL,#NULO#,Branco,#NULO#,164
2018,CHAVAL,#NULO#,Nulo,#NULO#,316
2018,CHAVAL,DC,EYMAEL,Democracia Cristã,3
2018,CHAVAL,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,51
2018,CHAVAL,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,57
2018,CHAVAL,PDT,CIRO GOMES,Partido Democrático Trabalhista,3234
2018,CHAVAL,PT,FERNANDO HADDAD,Partido dos Trabalhadores,3447
2018,CHAVAL,NOVO,JOÃO AMOÊDO,Partido Novo,9
2018,CHAVAL,PSL,JAIR BOLSONARO,Partido Social Liberal,837
2018,CHAVAL,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,6
2018,CHAVAL,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,CHAVAL,PATRI,CABO DACIOLO,Patriota,56
2018,CHAVAL,PODE,ALVARO DIAS,Podemos,6
2018,CHAVAL,REDE,MARINA SILVA,Rede Sustentabilidade,19
2018,CHORÓ,#NULO#,Branco,#NULO#,146
2018,CHORÓ,#NULO#,Nulo,#NULO#,367
2018,CHORÓ,DC,EYMAEL,Democracia Cristã,3
2018,CHORÓ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,45
2018,CHORÓ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,68
2018,CHORÓ,PDT,CIRO GOMES,Partido Democrático Trabalhista,1615
2018,CHORÓ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5471
2018,CHORÓ,NOVO,JOÃO AMOÊDO,Partido Novo,2
2018,CHORÓ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,1
2018,CHORÓ,PSL,JAIR BOLSONARO,Partido Social Liberal,764
2018,CHORÓ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,9
2018,CHORÓ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,CHORÓ,PATRI,CABO DACIOLO,Patriota,48
2018,CHORÓ,PODE,ALVARO DIAS,Podemos,4
2018,CHORÓ,REDE,MARINA SILVA,Rede Sustentabilidade,9
2018,CHOROZINHO,#NULO#,Branco,#NULO#,313
2018,CHOROZINHO,#NULO#,Nulo,#NULO#,597
2018,CHOROZINHO,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,110
2018,CHOROZINHO,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,83
2018,CHOROZINHO,PDT,CIRO GOMES,Partido Democrático Trabalhista,6063
2018,CHOROZINHO,PT,FERNANDO HADDAD,Partido dos Trabalhadores,4391
2018,CHOROZINHO,NOVO,JOÃO AMOÊDO,Partido Novo,10
2018,CHOROZINHO,PSL,JAIR BOLSONARO,Partido Social Liberal,2214
2018,CHOROZINHO,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,10
2018,CHOROZINHO,PATRI,CABO DACIOLO,Patriota,141
2018,CHOROZINHO,PODE,ALVARO DIAS,Podemos,17
2018,CHOROZINHO,REDE,MARINA SILVA,Rede Sustentabilidade,38
2018,COREAÚ,#NULO#,Branco,#NULO#,304
2018,COREAÚ,#NULO#,Nulo,#NULO#,597
2018,COREAÚ,DC,EYMAEL,Democracia Cristã,2
2018,COREAÚ,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,81
2018,COREAÚ,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,165
2018,COREAÚ,PDT,CIRO GOMES,Partido Democrático Trabalhista,6640
2018,COREAÚ,PT,FERNANDO HADDAD,Partido dos Trabalhadores,5302
2018,COREAÚ,NOVO,JOÃO AMOÊDO,Partido Novo,19
2018,COREAÚ,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,2
2018,COREAÚ,PSL,JAIR BOLSONARO,Partido Social Liberal,1757
2018,COREAÚ,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,23
2018,COREAÚ,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,1
2018,COREAÚ,PATRI,CABO DACIOLO,Patriota,66
2018,COREAÚ,PODE,ALVARO DIAS,Podemos,22
2018,COREAÚ,REDE,MARINA SILVA,Rede Sustentabilidade,14
2018,CRATEÚS,#NULO#,Branco,#NULO#,947
2018,CRATEÚS,#NULO#,Nulo,#NULO#,2127
2018,CRATEÚS,DC,EYMAEL,Democracia Cristã,5
2018,CRATEÚS,MDB,HENRIQUE MEIRELLES,Movimento Democrático Brasileiro,247
2018,CRATEÚS,PSDB,GERALDO ALCKMIN,Partido da Social Democracia Brasileira,419
2018,CRATEÚS,PDT,CIRO GOMES,Partido Democrático Trabalhista,13731
2018,CRATEÚS,PT,FERNANDO HADDAD,Partido dos Trabalhadores,19491
2018,CRATEÚS,NOVO,JOÃO AMOÊDO,Partido Novo,65
2018,CRATEÚS,PPL,JOÃO GOULART FILHO,Partido Pátria Livre,5
2018,CRATEÚS,PSL,JAIR BOLSONARO,Partido Social Liberal,6614
2018,CRATEÚS,PSOL,GUILHERME BOULOS,Partido Socialismo e Liberdade,141
2018,CRATEÚS,PSTU,VERA,Partido Socialista dos Trabalhadores Unificado,18
2018,CRATEÚS,PATRI,CABO DACIOLO,Patriota,239
2018,CRATEÚS,PODE,ALVARO DIAS,Podemos,30
2018,CRATEÚS,REDE,MARINA SILVA,Rede Sustentabilidade,56
